#COVID-19 Progression Model. XR Pharmaceuticals Ltd. 2020, www.xph.co.nz
# New Zealand,Pop:, 4885500,Pop. density:, 1.86000E+01, Model days:  163 to  68, Opt_by_density: TRUE
#Model parameters:,a1:, 3.00000E-01,b1:, 1.12500E+00,b2:, 1.35000E+00,k1:, 6.25000E-01,k2:, 5.12500E+00,bend date:,2020-04-09,cumulative cases:, 1126
#Date, Day,Cases,CumCases,CumDens,Rate,CalcRate,CalcDens,CalcCumCases
2020-02-17, 48, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-18, 49, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-19, 50, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-20, 51, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-21, 52, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-22, 53, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-23, 54, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-24, 55, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-25, 56, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-26, 57, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-27, 58, 0, 0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-28, 59, 1, 1, 3.7978E-6, 1.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-02-29, 60, 0, 1, 3.7978E-6, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-03-01, 61, 0, 1, 3.7978E-6, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-03-02, 62, 0, 1, 3.7978E-6, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-03-03, 63, 0, 1, 3.7978E-6, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-03-04, 64, 0, 1, 3.7978E-6, 0.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-03-05, 65, 1, 2, 7.5956E-6, 1.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-03-06, 66, 1, 3, 1.1393E-5, 1.0000E+0, 0.0000E+0, 0.0000E+0, 0.0000E+0
2020-03-07, 67, 1, 4, 1.5191E-5, 1.0000E+0, 4.0993E-6, 1.9291E-5, 5.0794E+0
2020-03-08, 68, 0, 4, 1.5191E-5, 0.0000E+0, 5.2475E-6, 2.4538E-5, 6.4611E+0
2020-03-09, 69, 0, 4, 1.5191E-5, 0.0000E+0, 6.7174E-6, 3.1255E-5, 8.2298E+0
2020-03-10, 70, 0, 4, 1.5191E-5, 0.0000E+0, 8.5941E-6, 3.9849E-5, 1.0493E+1
2020-03-11, 71, 0, 4, 1.5191E-5, 0.0000E+0, 1.0982E-5, 5.0831E-5, 1.3384E+1
2020-03-12, 72, 0, 4, 1.5191E-5, 0.0000E+0, 1.4004E-5, 6.4835E-5, 1.7072E+1
2020-03-13, 73, 0, 4, 1.5191E-5, 0.0000E+0, 1.7809E-5, 8.2644E-5, 2.1761E+1
2020-03-15, 74, 2, 6, 2.2787E-5, 2.0000E+0, 2.2562E-5, 1.0521E-4, 2.7702E+1
2020-03-16, 75, 0, 6, 2.2787E-5, 0.0000E+0, 2.8445E-5, 1.3365E-4, 3.5192E+1
2020-03-17, 76, 0, 6, 2.2787E-5, 0.0000E+0, 3.5652E-5, 1.6930E-4, 4.4579E+1
2020-03-18, 77, 0, 6, 2.2787E-5, 0.0000E+0, 4.4365E-5, 2.1367E-4, 5.6261E+1
2020-03-19, 78, 8, 14, 5.3169E-5, 8.0000E+0, 5.4742E-5, 2.6841E-4, 7.0675E+1
2020-03-20, 79, 11, 25, 9.4945E-5, 1.1000E+1, 6.6885E-5, 3.3529E-4, 8.8286E+1
2020-03-21, 80, 14, 39, 1.4811E-4, 1.4000E+1, 8.0806E-5, 4.1610E-4, 1.0956E+2
2020-03-22, 81, 13, 52, 1.9749E-4, 1.3000E+1, 9.6393E-5, 5.1249E-4, 1.3494E+2
2020-03-23, 82, 36, 88, 3.3421E-4, 3.6000E+1, 1.1337E-4, 6.2586E-4, 1.6480E+2
2020-03-24, 83, 40, 128, 4.8612E-4, 4.0000E+1, 1.3128E-4, 7.5715E-4, 1.9936E+2
2020-03-25, 84, 47, 175, 6.6462E-4, 4.7000E+1, 1.4949E-4, 9.0663E-4, 2.3873E+2
2020-03-26, 85, 73, 248, 9.4186E-4, 7.3000E+1, 1.6718E-4, 1.0738E-3, 2.8275E+2
2020-03-27, 86, 76, 324, 1.2305E-3, 7.6000E+1, 1.8345E-4, 1.2573E-3, 3.3105E+2
2020-03-28, 87, 78, 402, 1.5267E-3, 7.8000E+1, 1.9737E-4, 1.4546E-3, 3.8302E+2
2020-03-29, 88, 60, 462, 1.7546E-3, 6.0000E+1, 2.0810E-4, 1.6627E-3, 4.3781E+2
2020-03-30, 89, 76, 538, 2.0432E-3, 7.6000E+1, 2.1499E-4, 1.8777E-3, 4.9442E+2
2020-03-31, 90, 95, 633, 2.4040E-3, 9.5000E+1, 2.1764E-4, 2.0954E-3, 5.5173E+2
2020-04-01, 91, 0, 633, 2.4040E-3, 0.0000E+0, 2.1599E-4, 2.3114E-3, 6.0860E+2
2020-04-02, 92, 76, 709, 2.6926E-3, 7.6000E+1, 2.1029E-4, 2.5216E-3, 6.6397E+2
2020-04-03, 93, 49, 758, 2.8787E-3, 4.9000E+1, 2.0104E-4, 2.7227E-3, 7.1691E+2
2020-04-04, 94, 52, 810, 3.0762E-3, 5.2000E+1, 1.8893E-4, 2.9116E-3, 7.6666E+2
2020-04-05, 95, 48, 858, 3.2585E-3, 4.8000E+1, 1.7478E-4, 3.0864E-3, 8.1268E+2
2020-04-06, 96, 39, 897, 3.4066E-3, 3.9000E+1, 1.5936E-4, 3.2457E-3, 8.5464E+2
2020-04-07, 97, 32, 929, 3.5282E-3, 3.2000E+1, 1.4343E-4, 3.3892E-3, 8.9240E+2
2020-04-08, 98, 26, 955, 3.6269E-3, 2.6000E+1, 1.2760E-4, 3.5168E-3, 9.2600E+2
2020-04-09, 99, 23, 978, 3.7143E-3, 2.3000E+1, 1.1235E-4, 3.6291E-3, 9.5559E+2
2020-04-10, 100, 23, 1001, 3.8016E-3, 2.3000E+1, 9.8041E-5, 3.7272E-3, 9.8140E+2
2020-04-11, 101, 20, 1021, 3.8776E-3, 2.0000E+1, 8.4887E-5, 3.8121E-3, 1.0038E+3
2020-04-12, 102, 14, 1035, 3.9307E-3, 1.4000E+1, 7.3004E-5, 3.8851E-3, 1.0230E+3
2020-04-13, 103, 15, 1050, 3.9877E-3, 1.5000E+1, 6.2422E-5, 3.9475E-3, 1.0394E+3
2020-04-14, 104, 8, 1058, 4.0181E-3, 8.0000E+0, 5.3110E-5, 4.0006E-3, 1.0534E+3
2020-04-15, 105, 6, 1064, 4.0409E-3, 6.0000E+0, 4.4999E-5, 4.0456E-3, 1.0652E+3
2020-04-16, 106, 6, 1070, 4.0637E-3, 6.0000E+0, 3.7991E-5, 4.0836E-3, 1.0752E+3
2020-04-17, 107, 2, 1072, 4.0712E-3, 2.0000E+0, 3.1979E-5, 4.1156E-3, 1.0837E+3
2020-04-18, 108, 8, 1080, 4.1016E-3, 8.0000E+0, 2.6850E-5, 4.1424E-3, 1.0907E+3
2020-04-19, 109, 4, 1084, 4.1168E-3, 4.0000E+0, 2.2497E-5, 4.1649E-3, 1.0967E+3
2020-04-20, 110, 7, 1091, 4.1434E-3, 7.0000E+0, 1.8816E-5, 4.1837E-3, 1.1016E+3
2020-04-21, 111, 2, 1093, 4.1510E-3, 2.0000E+0, 1.5713E-5, 4.1994E-3, 1.1058E+3
2020-04-22, 112, 5, 1098, 4.1700E-3, 5.0000E+0, 1.3107E-5, 4.2125E-3, 1.1092E+3
2020-04-23, 113, 0, 1098, 4.1700E-3, 0.0000E+0, 1.0921E-5, 4.2235E-3, 1.1121E+3
2020-04-24, 114, 2, 1100, 4.1776E-3, 2.0000E+0, 9.0930E-6, 4.2326E-3, 1.1145E+3
2020-04-25, 115, 3, 1103, 4.1890E-3, 3.0000E+0, 7.5644E-6, 4.2401E-3, 1.1165E+3
2020-04-26, 116, 4, 1107, 4.2042E-3, 4.0000E+0, 6.2895E-6, 4.2464E-3, 1.1181E+3
2020-04-27, 117, 1, 1108, 4.2080E-3, 1.0000E+0, 5.2270E-6, 4.2516E-3, 1.1195E+3
2020-04-28, 118, 2, 1110, 4.2156E-3, 2.0000E+0, 4.3416E-6, 4.2560E-3, 1.1206E+3
2020-04-29, 119, 2, 1112, 4.2232E-3, 2.0000E+0, 3.6051E-6, 4.2596E-3, 1.1216E+3
2020-04-30, 120, 3, 1115, 4.2346E-3, 3.0000E+0, 2.9937E-6, 4.2626E-3, 1.1224E+3
2020-05-01, 121, 3, 1118, 4.2459E-3, 3.0000E+0, 2.4848E-6, 4.2651E-3, 1.1230E+3
2020-05-02, 122, 2, 1120, 4.2535E-3, 2.0000E+0, 2.0615E-6, 4.2671E-3, 1.1236E+3
2020-05-03, 123, 2, 1122, 4.2611E-3, 2.0000E+0, 1.7104E-6, 4.2688E-3, 1.1240E+3
2020-05-04, 124, 1, 1123, 4.2649E-3, 1.0000E+0, 1.4186E-6, 4.2703E-3, 1.1244E+3
2020-05-05, 125, 0, 1123, 4.2649E-3, 0.0000E+0, 1.1772E-6, 4.2714E-3, 1.1247E+3
2020-05-06, 126, 1, 1124, 4.2687E-3, 1.0000E+0, 9.7649E-7, 4.2724E-3, 1.1250E+3
2020-05-07, 127, 1, 1125, 4.2725E-3, 1.0000E+0, 8.1002E-7, 4.2732E-3, 1.1252E+3
2020-05-08, 128, 2, 1127, 4.2801E-3, 2.0000E+0, 6.7125E-7, 4.2739E-3, 1.1254E+3
2020-05-09, 129, 1, 1128, 4.2839E-3, 1.0000E+0, 5.5600E-7, 4.2744E-3, 1.1255E+3
2020-05-10, 130, 2, 1130, 4.2915E-3, 2.0000E+0, 4.6170E-7, 4.2749E-3, 1.1256E+3
2020-05-11, 131, 3, 1133, 4.3029E-3, 3.0000E+0, 3.8277E-7, 4.2753E-3, 1.1257E+3
2020-05-12, 132, 0, 1133, 4.3029E-3, 0.0000E+0, 3.1712E-7, 4.2756E-3, 1.1258E+3
2020-05-13, 133, 0, 1133, 4.3029E-3, 0.0000E+0, 2.6310E-7, 4.2759E-3, 1.1259E+3
2020-05-14, 134, 0, 1133, 4.3029E-3, 0.0000E+0, 2.1816E-7, 4.2761E-3, 1.1259E+3
2020-05-15, 135, 1, 1134, 4.3067E-3, 1.0000E+0, 1.8138E-7, 4.2763E-3, 1.1260E+3
2020-05-16, 136, 0, 1134, 4.3067E-3, 0.0000E+0, 1.5018E-7, 4.2764E-3, 1.1260E+3
2020-05-17, 137, 1, 1135, 4.3105E-3, 1.0000E+0, 1.2433E-7, 4.2765E-3, 1.1261E+3
2020-05-18, 138, 0, 1135, 4.3105E-3, 0.0000E+0, 1.0314E-7, 4.2766E-3, 1.1261E+3
2020-05-19, 139, 4, 1139, 4.3257E-3, 4.0000E+0, 8.5216E-8, 4.2767E-3, 1.1261E+3
2020-05-20, 140, 0, 1139, 4.3257E-3, 0.0000E+0, 7.0781E-8, 4.2768E-3, 1.1261E+3
2020-05-21, 141, 0, 1139, 4.3257E-3, 0.0000E+0, 5.8906E-8, 4.2769E-3, 1.1261E+3
2020-05-22, 142, 1, 1140, 4.3295E-3, 1.0000E+0, 4.8894E-8, 4.2769E-3, 1.1262E+3
2020-05-23, 143, 0, 1140, 4.3295E-3, 0.0000E+0, 4.0513E-8, 4.2769E-3, 1.1262E+3
2020-05-24, 144, 0, 1140, 4.3295E-3, 0.0000E+0, 3.3760E-8, 4.2770E-3, 1.1262E+3
2020-05-25, 145, 0, 1140, 4.3295E-3, 0.0000E+0, 2.7474E-8, 4.2770E-3, 1.1262E+3
2020-05-26, 146, 0, 1140, 4.3295E-3, 0.0000E+0, 2.3050E-8, 4.2770E-3, 1.1262E+3
2020-05-27, 147, 0, 1140, 4.3295E-3, 0.0000E+0, 1.9558E-8, 4.2771E-3, 1.1262E+3
2020-05-28, 148, 0, 1140, 4.3295E-3, 0.0000E+0, 1.5832E-8, 4.2771E-3, 1.1262E+3
2020-05-29, 149, 0, 1140, 4.3295E-3, 0.0000E+0, 1.3271E-8, 4.2771E-3, 1.1262E+3
2020-05-30, 150, 0, 1140, 4.3295E-3, 0.0000E+0, 1.0943E-8, 4.2771E-3, 1.1262E+3
2020-05-31, 151, 0, 1140, 4.3295E-3, 0.0000E+0, 8.6147E-9, 4.2771E-3, 1.1262E+3
2020-06-01, 152, 0, 1140, 4.3295E-3, 0.0000E+0, 7.2177E-9, 4.2771E-3, 1.1262E+3
2020-06-02, 153, 0, 1140, 4.3295E-3, 0.0000E+0, 6.2864E-9, 4.2771E-3, 1.1262E+3
2020-06-03, 154, 0, 1140, 4.3295E-3, 0.0000E+0, 5.3551E-9, 4.2771E-3, 1.1262E+3
2020-06-04, 155, 0, 1140, 4.3295E-3, 0.0000E+0, 3.9581E-9, 4.2771E-3, 1.1262E+3
2020-06-05, 156, 0, 1140, 4.3295E-3, 0.0000E+0, 3.4925E-9, 4.2771E-3, 1.1262E+3
2020-06-06, 157, 0, 1140, 4.3295E-3, 0.0000E+0, 2.7940E-9, 4.2771E-3, 1.1262E+3
2020-06-07, 158, 0, 1140, 4.3295E-3, 0.0000E+0, 3.0268E-9, 4.2771E-3, 1.1262E+3
2020-06-08, 159, 0, 1140, 4.3295E-3, 0.0000E+0, 1.6298E-9, 4.2771E-3, 1.1262E+3
2020-06-09, 160, 0, 1140, 4.3295E-3, 0.0000E+0, 1.8626E-9, 4.2771E-3, 1.1262E+3
2020-06-10, 161, 0, 1140, 4.3295E-3, 0.0000E+0, 9.3132E-10, 4.2771E-3, 1.1262E+3
2020-06-11, 162, 0, 1140, 4.3295E-3, 0.0000E+0, 1.1642E-9, 4.2771E-3, 1.1262E+3
2020-06-12, 163, 0, 1140, 4.3295E-3, 0.0000E+0, 9.3132E-10, 4.2771E-3, 1.1262E+3
2020-06-13, 164, 0, 1140, 4.3295E-3, 0.0000E+0, 6.9849E-10, 4.2771E-3, 1.1262E+3
2020-06-14, 165, 0, 1140, 4.3295E-3, 0.0000E+0, 2.3283E-10, 4.2771E-3, 1.1262E+3
2020-06-15, 166, 0, 1140, 4.3295E-3, 0.0000E+0, 2.3283E-10, 4.2771E-3, 1.1262E+3
2020-06-16, 167, 2, 1142, 4.3371E-3, 2.0000E+0, 2.3283E-10, 4.2771E-3, 1.1262E+3
2020-06-17, 168, 0, 1142, 4.3371E-3, 0.0000E+0, 2.3283E-10, 4.2771E-3, 1.1262E+3
2020-06-18, 169, 1, 1143, 4.3409E-3, 1.0000E+0, 2.3283E-10, 4.2771E-3, 1.1262E+3
2020-06-19, 170, 0, 1143, 4.3409E-3, 0.0000E+0, 2.3283E-10, 4.2771E-3, 1.1262E+3
2020-06-20, 171, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-21, 172, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-22, 173, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-23, 174, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-24, 175, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-25, 176, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-26, 177, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-27, 178, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-28, 179, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-29, 180, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-06-30, 181, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-01, 182, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-02, 183, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-03, 184, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-04, 185, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-05, 186, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-06, 187, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-07, 188, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-08, 189, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
2020-07-09, 190, 0, 0, 0.0000E+0, 2.3283E-10, 0.0000E+0, 4.2771E-3, 1.1262E+3
